artist,track_name,filename,tempo,energy,danceability,mode,valence,genre
Eric Hutchinson,Outside Villanova,Eric Hutchinson - Outside Villanova.txt,137.946,0.732,0.785,1,0.798,acoustic
Gen Hoshino,I Wanna Be Your Ghost (feat. Ghosts),Gen Hoshino - I Wanna Be Your Ghost (feat. Ghosts).txt,129.993,0.751,0.829,0,0.96,acoustic
Marc Broussard,Rocksteady,Marc Broussard - Rocksteady.txt,120.063,0.849,0.719,0,0.886,acoustic
Laura Jane Grace,Day Old Coffee,Laura Jane Grace - Day Old Coffee.txt,152.02,0.933,0.712,1,0.865,acoustic
Todd Carey,Nintendo,Todd Carey - Nintendo.txt,124.94,0.93,0.723,1,0.69,acoustic
Criolo,Fellini,Criolo - Fellini.txt,127.922,0.746,0.805,0,0.717,afrobeat
BaianaSystem,Terapia,BaianaSystem - Terapia.txt,124.03,0.814,0.79,0,0.914,afrobeat
Plastilina Mosh,Aló,Plastilina Mosh - Aló.txt,142.035,0.609,0.797,1,0.913,afrobeat
BaianaSystem,Reza Forte,BaianaSystem - Reza Forte.txt,145.997,0.915,0.844,0,0.872,afrobeat
Criolo,Demorô,Criolo - Demorô.txt,140.989,0.709,0.755,0,0.657,afrobeat
Criolo,Samba Sambei,Criolo - Samba Sambei.txt,136.07,0.737,0.87,1,0.952,afrobeat
Criolo,Menino Mimado,Criolo - Menino Mimado.txt,144.008,0.604,0.83,0,0.82,afrobeat
Criolo,Boca Fofa,Criolo - Boca Fofa.txt,168.146,0.784,0.717,0,0.978,afrobeat
BaianaSystem,Cabeça de Papel,BaianaSystem - Cabeça de Papel.txt,144.999,0.833,0.724,1,0.875,afrobeat
Criolo,Me Dê Motivo,Criolo - Me Dê Motivo.txt,132.008,0.623,0.864,1,0.84,afrobeat
Criolo,Samba Sambei (Dub Mix),Criolo - Samba Sambei (Dub Mix).txt,136.029,0.664,0.795,1,0.854,afrobeat
BaianaSystem,CertoPeloCertoh,BaianaSystem - CertoPeloCertoh.txt,149.995,0.72,0.726,1,0.874,afrobeat
Criolo,Chocolate,Criolo - Chocolate.txt,135.953,0.79,0.759,0,0.914,afrobeat
Plastilina Mosh,Human Disco Ball,Plastilina Mosh - Human Disco Ball.txt,125.023,0.99,0.797,0,0.926,afrobeat
Jorge Drexler,Uno,Jorge Drexler - Uno.txt,130.945,0.686,0.715,1,0.86,afrobeat
Plastilina Mosh,Bungaloo Punta Cometa,Plastilina Mosh - Bungaloo Punta Cometa.txt,149.822,0.771,0.744,0,0.661,afrobeat
Los Amigos Invisibles,Sex Appeal,Los Amigos Invisibles - Sex Appeal.txt,120.961,0.728,0.758,1,0.846,afrobeat
Plastilina Mosh,JAJAJA,Plastilina Mosh - JAJAJA.txt,122.757,0.889,0.714,1,0.935,afrobeat
BaianaSystem,Corneteiro Luís,BaianaSystem - Corneteiro Luís.txt,126.005,0.858,0.762,0,0.836,afrobeat
BaianaSystem,Tubarão,BaianaSystem - Tubarão.txt,131.065,0.925,0.738,1,0.704,afrobeat
BaianaSystem,Pachamama,BaianaSystem - Pachamama.txt,150.03,0.855,0.75,0,0.879,afrobeat
Afrocidade,Eu Vou no Gueto,Afrocidade - Eu Vou no Gueto.txt,133.984,0.902,0.762,0,0.882,afrobeat
BaianaSystem,Catraca,BaianaSystem - Catraca.txt,154.955,0.939,0.742,1,0.965,afrobeat
Los Amigos Invisibles,Invisible Love,Los Amigos Invisibles - Invisible Love.txt,125.98,0.747,0.731,0,0.962,afrobeat
Calle 13,Tal Para Cual,Calle 13 - Tal Para Cual.txt,175.999,0.871,0.726,0,0.773,afrobeat
BaianaSystem,Saci (Remix),BaianaSystem - Saci (Remix).txt,127.989,0.922,0.974,0,0.657,afrobeat
Voilaaa,Pour la vie,Voilaaa - Pour la vie.txt,133.901,0.687,0.863,1,0.77,afrobeat
Osibisa,Dance the Body Music,Osibisa - Dance the Body Music.txt,120.919,0.831,0.731,0,0.973,afrobeat
Voilaaa,Tu n'as pas de voiture,Voilaaa - Tu n'as pas de voiture.txt,132.984,0.72,0.876,0,0.901,afrobeat
Voilaaa,Spies Are Watching Me,Voilaaa - Spies Are Watching Me.txt,127.002,0.708,0.892,0,0.949,afrobeat
Calle 13,Uiyi Guaye,Calle 13 - Uiyi Guaye.txt,183.918,0.783,0.734,1,0.767,afrobeat
Caê,Bim-Bim-Bim,Caê - Bim-Bim-Bim.txt,122.108,0.76,0.778,1,0.895,afrobeat
